id,title,description,price,image[0].url,url,brand,provider,status,activity_category,activity_date,location_name,performers,custom_number_0,custom_number_1,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_number_2
132451,כרס של ארכיטקט,"כרס של ארכיטקט (בריטניה 1987)
BELLY OF AN ARCHITECT
בימוי: פיטר גרינאווי
Dr: Peter Greenaway
משחק: בריאן דנהי, קלואה ווב, למברט ווילסון
שני ארכיטקטים עומדים במרכז עלילת הסרט: הראשון בן המאה ה18-, אטיין לואי בולה, מי שהתפרסם בעיקר בזכות מבני קבורה מעגליים. האחר, דמות בדויה בת זמננו, הוא אדריכל משיקגו שמגיע לרומא כדי לארגן תערוכה על בולה. התערוכה הופכת לאובססיה: הוא שוקע כולו בעבר, שוכח את אשתו ההרה, ובמהלך תשעת חודשי שהותו ברומא מתערערת בריאותו. הוא סובל מכאבי בטן קשים ומאבד את אשתו, את בנו שעתיד להיוולד ובסופו של דבר גם את התערוכה. כמו ברוב סרטיו זורע גרינאווי בסרטו אינספור סמלים שמתאחדים לכדי אמירה פוסט-מודרנית על גורל האמן. הפתעה - לא מייקל ניימן אחראי על הפסקול (הנפלא כתמיד) בסרט זה, אלא המלחין הבלגי וים מרטנס. 
(118 דקות, אנגלית, תרגום לעברית)((118 min., Eng., Heb. sub

הקרנה חד פעמית.",45.00 ILS,https://www.cinema.co.il/wp-content/uploads/2023/12/%D7%9B%D7%A8%D7%A1-%D7%A9%D7%9C-%D7%90%D7%A8%D7%9B%D7%99%D7%98%D7%A7%D7%98.jpg,https://www.cinema.co.il/event/%d7%9b%d7%a8%d7%a1-%d7%a9%d7%9c-%d7%90%d7%a8%d7%9b%d7%99%d7%98%d7%a7%d7%98/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-05,אולם 3,,20260905,9999,05.09.2026 19:30,אולם 3,https://cintlv.presglobal.store/order/132451,,14080
133446,ערך סנטימנטלי,"ערך סנטימנטלי (נורבגיה/ גרמניה/ דנמרק/ צרפת/ שוודיה 2025 )
בימוי: יואכים טרייר
משחק: רנטה ריינסב, סטלן סקארסגארד, אל פאנינג
SENTIMENTAL VALUE
Dir: Joachim Trier 
הבמאי עטור הפרסים יואכים טרייר מתאחד עם רנטה ריינסב (""האדם הגרוע בעולם"") לדרמה מרגשת שהדהימה את פסטיבל קאן וגרפה את הפרס הגדול. לאחר מות אִמה של נורה חוזר לחייה אביה גוסטב (סטלן סקארסגארד), במאי קולנוע מפורסם, ובאמתחתו הצעה: הוא מעוניין שהיא תגלם את התפקיד הראשי ביצירה אוטוביוגרפית חדשה שעליה הוא עובד. נורה מסרבת, והתפקיד נמסר לשחקנית אמריקאית מבטיחה (אל פאנינג), שמשנה את מסלול הסרט. בין היעדרותה של האם האהובה, שובו של האב והעבודה על הסרט, נורה ואחותה אגנס מנסות לגשש את דרכן במבוך של רגשות סותרים ושאיפה לפתוח פרק חדש בחייהן.
132 דקות, נורבגית ואנגלית, תרגום לעברית ואנגלית",45.00 ILS,https://www.cinema.co.il/wp-content/uploads/2026/01/%D7%A2%D7%A8%D7%9A-%D7%A1%D7%A0%D7%98%D7%99%D7%9E%D7%A0%D7%98%D7%9C%D7%99.jpg,https://www.cinema.co.il/event/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-05,אולם 4,,20260905,9999,05.09.2026 19:30,אולם 4,https://cintlv.presglobal.store/order/133446,,19840
133209,סיפורים קרועים,"סיפורים קרועים (ספרד/ארגנטינה 2025)
בימוי: מריאנו כהן, גסטון דופראט
משחק: גילרמו פרנצ'לה, אורורה קוואטרוקי, אווה דה דומיניצ'י, גילרמו ארנגו, ז'ורז' באריל
HOMO ARGENTUM
Dir: Mariano Cohn, Gaston Duprat
קומדיה שחורה פרועה, מושחזת ומצחיקה עד דמעות, שהפכה ללהיט קופתי גדול. בהשראת הקומדיות האיטלקיות הקלאסיות של שנות ה-60 וה-70, הסרט משלב הומור שנון עם מבט חד על טבע האדם. באמצעות פסיפס של סיפורים קצרים, אירוניים ולעיתים אבסורדיים, הוא בוחן את השיגעונות, ההרגלים והמוזרויות שמעצבים את חיי היום-יום שלנו – ממערכות יחסים, אהבה ומשפחה ועד לעולם העבודה המנוכר. התוצאה היא דיוקן משעשע ונוקב של החברה העכשווית, כזה שמעורר צחוק גדול, אך גם מחשבות על מי שאנחנו ועל הדרך בה אנו חיים. השחקן המוערך גיירמו פרנצ'לה מוביל את הסרט בתצוגת משחק וירטואוזית ונוגעת ללב, כשהוא מגלם שורה של דמויות שונות, קיצוניות ומשעשעות.
98 דקות, ספרדית, תרגום לעברית ואנגלית
טרום בכורה באדיבות קולנוע חדש בע""מ

טרום בכורה באדיבות קולנוע",45.00 ILS,https://www.cinema.co.il/wp-content/uploads/2026/08/%D7%A1%D7%99%D7%A4%D7%95%D7%A8%D7%99%D7%9D-%D7%A7%D7%A8%D7%95%D7%A2%D7%99%D7%9D-1.jpg,https://www.cinema.co.il/event/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a7%d7%a8%d7%95%d7%a2%d7%99%d7%9d/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-05,אולם 3,,20260905,9999,05.09.2026 22:00,אולם 3,https://cintlv.presglobal.store/order/133209,,20976
133609,"תמצאו אותי, טוב?","תמצאו אותי, טוב? (ישראל/ ארה""ב 2026)
בימוי: יולה גדרון
FIND ME, OKAY? 
Dir: Yula Gidron
בבוקר שבת, עדן ירושלמי וחברתה הטובה ארבל רוקדות בפסטיבל נובה. שעות אחדות לאחר מכן עדן נחטפת לעזה – בזמן שאחיותיה מאזינות למאורעות בחוסר אונים מהצד השני של קו הטלפון. מה שמתחיל עם תקווה נואשת לשובה הופך למסע של חוסר ודאות, מאבק ציבורי ואובדן מטלטל. ""תמצאו אותי, טוב?"" הוא תיעוד אינטימי של אמה של עדן, אחיותיה וחברתה הטובה ארבל במאבקן להשיב אותה הביתה – עד הרגע שבו התקווה קורסת. דיוקן של שנתיים של אהבה, אבל, חוסן נפשי ומשימה בלתי אפשרית: למצוא דרך להמשיך הלאה אחרי הטראומה ולבנות את החיים מחדש.

80 דקות, עברית ואנגלית, תרגום לעברית",45.00 ILS,https://www.cinema.co.il/wp-content/uploads/2026/07/%D7%AA%D7%9E%D7%A6%D7%90%D7%95-%D7%90%D7%95%D7%AA%D7%99-%D7%98%D7%95%D7%91.jpg,https://www.cinema.co.il/event/%d7%aa%d7%9e%d7%a6%d7%90%d7%95-%d7%90%d7%95%d7%aa%d7%99-%d7%98%d7%95%d7%91/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-05,אולם 4,,20260905,9999,05.09.2026 22:15,אולם 4,https://cintlv.presglobal.store/order/133609,,21188
131955,טינה טרום בכורה,"טינה (ניו זילנד 2025)
 בימוי: מיקי מאגסיבה
 משחק: אנאפלה פולטאיבאו, אנטוניה רובינסון, ביולה קואלה, ניקול ויפי, דליפ סונדהי
 TINĀ
 Dir: Miki Magasiva
 לאחר שבתה נהרגה ברעידת האדמה בכרייסטצ'רץ', מורה למוזיקה ממוצא סמואי מתקשה למצוא טעם בחייה. כשהיא מתחילה ללמד בבית ספר יוקרתי, היא פוגשת קבוצת תלמידים המתקשים למצוא את מקומם. מתוך אמונה בכוחה המאחד של המוזיקה, היא מקימה מקהלה המשלבת מסורת מוזיקלית סמואית עם שירת מקהלה מערבית. תהליך החזרות וההופעות הופך למסע של ריפוי, גילוי עצמי ויצירת קהילה חדשה, עבור התלמידים והמורה כאחד. דרמה מרגשת ומעוררת השראה, המשלבת מוזיקה סוחפת, תרבות סמואית עשירה וביצועי מקהלה מרשימים. זהו סרט על כוחה של השירה לחבר בין אנשים, לגשר על פערים ולהעניק תקווה.
 124 דקות, אנגלית וסמואית, תרגום לעברית.
 טרום בכורה באדיבות רד קייפ בע""מ",45.00 ILS,https://www.cinema.co.il/wp-content/uploads/2026/08/%D7%98%D7%99%D7%A0%D7%94.jpg,https://www.cinema.co.il/event/%d7%98%d7%99%d7%a0%d7%94-%d7%98%d7%a8%d7%95%d7%9d-%d7%91%d7%9b%d7%95%d7%a8%d7%94/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-06,אולם 4,,20260906,9999,06.09.2026 11:00,אולם 4,https://cintlv.presglobal.store/order/131955,,21205
132453,זה הדוד שלי,"זה הדוד שלי (צרפת 1958) בימוי: ז'אק טאטי משחק: טאטי, ז'אן פייר זולה, אלן בקור MON ONCLE Dir: Jacques Tati זירת ההתרחשות העיקרית היא בית אחותו של מר הולו, הנשואה לתעשיין אמיד. השניים עיצבו לעצמם חווילה בהשראת הארכיטקטורה והציור המודרניים, עם חזיתות מתכת, מינימום ריהוט וגינה מצויצת. הולו, שאינו מצליח ללכת בהתאם לקווי המיתאר המדויקים של הדשא המודרני ושמנסה להתחמק באלגנטיות מחיזוריה של אחת השכנות, מוצא שפה משותפת רק עם בן אחותו, שגם הוא אינו יכול להתמודד עם חוקי עולם המבוגרים. ""זה הדוד שלי"" הוא יצירה קומית מרירה העשויה בדקדקנות פרטנית ומתוך חזון ויזואלי וטכנולוגי מדהים. כמו בכל הפילמוגרפיה של ז'אק טאטי גם פה מבשיל ההומור בקצב משלו, ובהדרגה חושפת ההתבוננות החדה כי העולם הוא מעין סיוט מצחיק. (116 דקות. צרפתית, תרגום לעברית) (116 min., Fre., Heb. sub) עותק 35 מ""מ",45.00 ILS,https://www.cinema.co.il/wp-content/uploads/2021/03/%D7%96%D7%94-%D7%94%D7%93%D7%95%D7%93-%D7%A9%D7%9C%D7%99.jpg,https://www.cinema.co.il/event/%d7%96%d7%94-%d7%94%d7%93%d7%95%d7%93-%d7%a9%d7%9c%d7%99/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-06,אולם 3,,20260906,9999,06.09.2026 14:30,אולם 3,https://cintlv.presglobal.store/order/132453,"ארכיטקטורה בזמן: מבנים, ערים וחלומות בקולנוע",7502
133545,ערך סנטימנטלי,"ערך סנטימנטלי (נורבגיה/ גרמניה/ דנמרק/ צרפת/ שוודיה 2025 )
בימוי: יואכים טרייר
משחק: רנטה ריינסב, סטלן סקארסגארד, אל פאנינג
SENTIMENTAL VALUE
Dir: Joachim Trier 
הבמאי עטור הפרסים יואכים טרייר מתאחד עם רנטה ריינסב (""האדם הגרוע בעולם"") לדרמה מרגשת שהדהימה את פסטיבל קאן וגרפה את הפרס הגדול. לאחר מות אִמה של נורה חוזר לחייה אביה גוסטב (סטלן סקארסגארד), במאי קולנוע מפורסם, ובאמתחתו הצעה: הוא מעוניין שהיא תגלם את התפקיד הראשי ביצירה אוטוביוגרפית חדשה שעליה הוא עובד. נורה מסרבת, והתפקיד נמסר לשחקנית אמריקאית מבטיחה (אל פאנינג), שמשנה את מסלול הסרט. בין היעדרותה של האם האהובה, שובו של האב והעבודה על הסרט, נורה ואחותה אגנס מנסות לגשש את דרכן במבוך של רגשות סותרים ושאיפה לפתוח פרק חדש בחייהן.
132 דקות, נורבגית ואנגלית, תרגום לעברית ואנגלית",45.00 ILS,https://www.cinema.co.il/wp-content/uploads/2026/01/%D7%A2%D7%A8%D7%9A-%D7%A1%D7%A0%D7%98%D7%99%D7%9E%D7%A0%D7%98%D7%9C%D7%99.jpg,https://www.cinema.co.il/event/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-06,אולם 4,,20260906,9999,06.09.2026 16:30,אולם 4,https://cintlv.presglobal.store/order/133545,,19840
130745,תמול שלשום 2026 ב' - מפגש 5,"איך מתחילים מחדש אחרי המבול? איך מתחילים מחדש אחרי חורבן? מרצה: חן עמרם יוקרן: בשביל החיים מבוסס על סיפור אמיתי. ריינור ומות', זוג נשוי בגיל העמידה, מאבד את פרנסתו, ביתו וכל תקוותו. כשהגבר מגלה שהוא חולה במחלה סופנית, הזוג מחליט לצאת למסע רגלי משנה חיים בחופי דרום מערב אנגליה.",65.00 ILS,https://www.cinema.co.il/wp-content/uploads/2025/08/%D7%91%D7%A9%D7%91%D7%99%D7%9C-%D7%94%D7%97%D7%99%D7%99%D7%9D.jpg,https://www.cinema.co.il/event/%d7%aa%d7%9e%d7%95%d7%9c-%d7%a9%d7%9c%d7%a9%d7%95%d7%9d-2026-%d7%91-%d7%9e%d7%a4%d7%92%d7%a9-5/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-06,אולם 3,,20260906,9999,06.09.2026 17:00,אולם 3,https://cintlv.presglobal.store/order/130745,תמול שלשום 2026 | חלק ב',21001
132774,מה שמריאל יודעת,"מה שמריאל יודעת (גרמניה 2025)
בימוי: פרדריק האמבלק
משחק: ג'וליה ג'נטש, פליקס קריימר, לאני גריזלר, מחמט אצקי, מוריץ טרונפלס
WHAT MARIELLE KNOWS
Dir: Frederic Hambalek
מריאל מפתחת בן לילה יכולת לראות ולשמוע כל מה שהוריה, יוליה וטוביאס, רואים, חושבים ועושים. ההורים מתקשים להתמודד עם היכולת הטלפתית של בתם ועם התעקשותה לחשוף את השקרים הקטנים והעמדות הפנים שעוזרות להם (ולכולנו) לצלוח את החיים. עד מהרה, הם מוצאים עצמם בסחרור מניפולטיבי, אבסורדי, עם תוצאות לא צפויות. ""מה שמריאל יודעת"" - דרמה מושחזת, מקורית ומעוררת מחשבה - מגיעה לחיפה מן הבכורה במסגרת התחרות בפסטיבל ברלין. הסרט מקלף את המעטפת המושלמת של זוג מבוסס ולוקח אותנו למסע אינטליגנטי וקומי אל לבה השברירי של הבורגנות האירופאית.
טריילר - https://www.youtube.com/watch?v=8cGtU2aY2zw&ab_channel=DCM
86 דקות, גרמנית, צרפתית. תרגום לעברית ואנגלית",45.00 ILS,https://www.cinema.co.il/wp-content/uploads/2026/04/%D7%9E%D7%94-%D7%A9%D7%9E%D7%A8%D7%99%D7%90%D7%9C-%D7%99%D7%95%D7%93%D7%A2%D7%AA.jpg,https://www.cinema.co.il/event/%d7%9e%d7%94-%d7%a9%d7%9e%d7%a8%d7%99%d7%90%d7%9c-%d7%99%d7%95%d7%93%d7%a2%d7%aa/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-06,אולם 4,,20260906,9999,06.09.2026 19:15,אולם 4,https://cintlv.presglobal.store/order/132774,,21283
133546,סיפורים קרועים,"סיפורים קרועים (ספרד/ארגנטינה 2025)
בימוי: מריאנו כהן, גסטון דופראט
משחק: גילרמו פרנצ'לה, אורורה קוואטרוקי, אווה דה דומיניצ'י, גילרמו ארנגו, ז'ורז' באריל
HOMO ARGENTUM
Dir: Mariano Cohn, Gaston Duprat
קומדיה שחורה פרועה, מושחזת ומצחיקה עד דמעות, שהפכה ללהיט קופתי גדול. בהשראת הקומדיות האיטלקיות הקלאסיות של שנות ה-60 וה-70, הסרט משלב הומור שנון עם מבט חד על טבע האדם. באמצעות פסיפס של סיפורים קצרים, אירוניים ולעיתים אבסורדיים, הוא בוחן את השיגעונות, ההרגלים והמוזרויות שמעצבים את חיי היום-יום שלנו – ממערכות יחסים, אהבה ומשפחה ועד לעולם העבודה המנוכר. התוצאה היא דיוקן משעשע ונוקב של החברה העכשווית, כזה שמעורר צחוק גדול, אך גם מחשבות על מי שאנחנו ועל הדרך בה אנו חיים. השחקן המוערך גיירמו פרנצ'לה מוביל את הסרט בתצוגת משחק וירטואוזית ונוגעת ללב, כשהוא מגלם שורה של דמויות שונות, קיצוניות ומשעשעות.
98 דקות, ספרדית, תרגום לעברית ואנגלית
טרום בכורה באדיבות קולנוע חדש בע""מ

טרום בכורה באדיבות קולנוע",45.00 ILS,https://www.cinema.co.il/wp-content/uploads/2026/08/%D7%A1%D7%99%D7%A4%D7%95%D7%A8%D7%99%D7%9D-%D7%A7%D7%A8%D7%95%D7%A2%D7%99%D7%9D-1.jpg,https://www.cinema.co.il/event/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a7%d7%a8%d7%95%d7%a2%d7%99%d7%9d/,Cinematheque Tel Aviv,Cinematheque Tel Aviv,archived,Other,2026-09-06,אולם 4,,20260906,9999,06.09.2026 21:15,אולם 4,https://cintlv.presglobal.store/order/133546,,20976
